ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ADSTRD_CD,ADSTRD_NM,RDNMADR_CD,RDNMADR_NM,ZIP_NO,GID_CD,FCLTY_LO,FCLTY_LA,OPMTN_PLACE_NM,FSTVL_BEGIN_DE,FSTVL_END_DE,FSTVL_CN,MNNST_NM,AUSPC_INSTT_NM,SUPRT_INSTT_NM,TEL_NO,HMPG_ADDR,RELATE_INFO_CN,데이터기준일자,PROVD_INSTT_CD,PROVD_INSTT_NM,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
KC488PO21N000544,행사,행사,신안튤립축제,전라남도,신안군,4691032022,임자면 대기리,4691032023,임자면,469104706051,전라남도 신안군 임자면 대광해수욕장길 179,58803,나라698795,35.1029127579096,126.072511663387,신안튤립공원(임자도대광해변일원),20190412,20190421,"예술공연, 사진촬영대회, 섬등산대회, 각종 체험행사",신안튤립축제추진위원회,신안군,,0612404041,https://tour.shinan.go.kr/,,20220228,5010000,전라남도 신안군,20220228133805,문화체육관광부,KC_488_WNTY_CLTFSTVL_2021,20220228
KC488PO21N000545,행사,행사,북천코스모스메밀꽃축제,경상남도,하동군,4885039023,북천면 직전리,4885039023,북천면,488502332001,경상남도 하동군 북천면 경서대로 2253-21,52318,라라340796,35.1110162671877,127.874166228481,하동군 북천면 꽃단지 일원,20200101,20201231,꽃축제,하동북천코스모스메밀꽃영농법인,하동북천코스모스메밀꽃영농법인,,,,,20220228,5440000,경상남도 하동군,20220228133805,문화체육관광부,KC_488_WNTY_CLTFSTVL_2021,20220228
KC488PO21N000546,행사,행사,은평누리축제,서울특별시,은평구,1138010200,녹번동,1138010200,녹번동,113803000007,서울특별시 은평구 서오릉로 지하 47,03459,다사490563,37.6051488334917,126.923041569931,"역촌역 평화공원, 불광천수변무대, 은평문화예술회관 등",20191003,20191005,"문화공연, 체험부스 등",은평구,서울특별시 은평구,,023516514,http://www.ep.go.kr,,20220228,3110000,서울특별시 은평구,20220228133805,문화체육관광부,KC_488_WNTY_CLTFSTVL_2021,20220228
KC488PO21N000547,행사,행사,문경약돌한우축제,경상북도,문경시,4728025030,문경읍 상초리,4728025030,문경읍,472803000165,경상북도 문경시 문경읍 새재로 932,36919,라바514627,36.7616034289935,128.076989152595,문경새재도립공원일원,20210828,20210829,문경약돌한우 홍보,문경약돌한우축제추진위원회,문경시청,,0545717677,http://mghanwoo.or.kr/,코로나19로 인한 취소,20220228,5120000,경상북도 문경시,20220228133805,문화체육관광부,KC_488_WNTY_CLTFSTVL_2021,20220228
KC488PO21N000548,행사,행사,명량대첩축제,전라남도,해남군,4682042025,문내면 학동리,4682042025,문내면,468203017038,전라남도 해남군 문내면 관광레저로 12,59004,나라908204,34.5726489138229,126.3101440031,녹진광관지 일원,20210903,20210905,눈앞에서 펼쳐지는 실전과 같은 명량대첩의 재현,(재)명량대첩기념사업회,"전남도, 진도군, 해남군","문화체육관광부, 한국관광공사, 대한민국해군",15889601,http://www.mldc.kr/web/,"약무호남제례, 초요기를 올려라, 소다섯마리 큰잔치, 난장콘서트, 야죽불 황토 고구마, 풍등 날리기 등",20220228,5000000,전라남도 진도군,20220228133805,문화체육관광부,KC_488_WNTY_CLTFSTVL_2021,20220228
KC488PO21N000549,행사,행사,이천쌀문화축제,경기도,이천시,4150010200,관고동,4150010200,관고동,415004421055,경기도 이천시 경충대로2697번길 306,17379,다사935198,37.2779380494206,127.426926834502,이천시 설봉공원,20201022,20201025,공연+농촌체험+농산물판매,이천문화재단+이천쌀문화축제추진위원회,이천시,경기도,0316362200,http://www.ricefestival.or.kr/,설봉산+한국도자재단,20220228,4070000,경기도 이천시,20220228133805,문화체육관광부,KC_488_WNTY_CLTFSTVL_2021,20220228
KC488PO21N000550,행사,행사,이천도자기축제,경기도,이천시,4150031029,신둔면 고척리,4150031029,신둔면,415004853635,경기도 이천시 신둔면 도자예술로5번길 109,17306,다사898215,37.2930976680779,127.385684947776,이천시 신둔면 예스파크,20211001,20211010,도자기전시+체험,이천문화재단+이천시도자기축제추진위원회,이천시,경기도,0316362200,http://www.ceramic.or.kr,예스파크(이천도자예술마을) +사기막골도예촌+월전미술관+이천세라피아+이천시립박물관+미란다호텔스파+테르메덴,20220228,4070000,경기도 이천시,20220228133805,문화체육관광부,KC_488_WNTY_CLTFSTVL_2021,20220228
KC488PO21N000551,행사,행사,햇사레장호원복숭아축제,경기도,이천시,4150025021,장호원읍 장호원리,4150025021,장호원읍,415004421366,경기도 이천시 장호원읍 서동대로8759번길 117,17421,라사100022,37.1189646979685,127.613216316409,장호원햇사레산지유통센터,20190920,20190922,복숭아축제,장호원농협+경기동부과수농협,햇사레장호원복숭아축제추진위원회,이천시+햇사레과일조합공동사업법인+사회단체,0316430045,http://www.peachfestival.co.kr,축제행사+수확체험+직판행사,20220228,4070000,경기도 이천시,20220228133805,문화체육관광부,KC_488_WNTY_CLTFSTVL_2021,20220228
KC488PO21N000552,행사,행사,이천인삼축제,경기도,이천시,4150010200,관고동,4150010200,관고동,415004421055,경기도 이천시 경충대로2697번길 306,17379,다사935198,37.2779380494206,127.426926834502,이천시 설봉공원,20201030,20201101,인삼판매+먹거리장터+농산물판매,경기동부인삼농협,이천인삼축제추진위원회,이천시,0316453094,http://kginsam.nonghyup.com,설봉산+이천인삼,20220228,4070000,경기도 이천시,20220228133805,문화체육관광부,KC_488_WNTY_CLTFSTVL_2021,20220228
KC488PO21N000553,행사,행사,제11회서면우리문화축제,부산광역시,부산진구,2623010500,범전동,2623010500,범전동,262303129030,부산광역시 부산진구 시민공원로 73,47197,마라416866,35.1654551093013,129.055853718932,부산시민공원,20201218,20210104,"전통등, 동지트리 등 비대면 축제",부산광역시 부산진구청,부산광역시 부산진구청,,0516054064,http://tour.busanjin.go.kr,,20220228,3290000,부산광역시 부산진구,20220228133805,문화체육관광부,KC_488_WNTY_CLTFSTVL_2021,20220228
